,Date,Close.Last,Volume,Open,High,Low
1748,4/25/2016,16.9698,388343,17.0139,17.1145,16.8127
1747,4/26/2016,17.2402,268674,17.0516,17.3219,16.7561
1746,4/27/2016,17.6112,214357,17.3911,17.7746,17.1836
1745,4/28/2016,17.7495,404027,17.7621,17.8941,17.6175
1744,4/29/2016,17.7181,628853,18.548,18.548,16.3945
1743,5/2/2016,18.1645,323921,17.7243,18.3468,17.3911
1742,5/3/2016,17.9381,274998,17.9821,18.1708,17.8866
1741,5/4/2016,18.0827,248216,17.7621,18.1645,17.7495
1740,5/5/2016,18.1519,175196,18.1959,18.3154,18.045
1739,5/6/2016,18.3279,159859,18.1393,18.6612,17.9193
1738,5/9/2016,18.3279,232170,18.3279,18.416,18.0451
1737,5/10/2016,18.8184,189505,18.372,18.8309,18.3279
1736,5/11/2016,18.6423,236086,18.7618,19.0573,18.5543
1735,5/12/2016,18.3782,106495,18.7052,18.7492,18.2148
1734,5/13/2016,18.4285,151021,18.3594,18.46,18.2116
1733,5/16/2016,18.4411,155404,18.4285,18.5417,18.1362
1732,5/17/2016,18.4285,228700,18.4851,18.5732,18.3782
1731,5/18/2016,18.1708,160139,18.3845,18.4914,18.0639
1730,5/19/2016,17.6237,191275,18.1016,18.1456,17.542
1729,5/20/2016,17.7495,285275,17.6237,17.8061,17.5043
1728,5/23/2016,17.6992,137950,17.7243,17.9853,17.6049
1727,5/24/2016,18.0199,173999,17.7746,18.1205,17.7016
1726,5/25/2016,17.9067,198906,18.0073,18.0764,17.7621
1725,5/26/2016,17.9381,137050,17.913,18.1645,17.8878
1724,5/27/2016,18.3091,143104,17.9193,18.3342,17.9193
1723,5/31/2016,18.0702,146799,18.3657,18.4097,17.9821
1722,6/1/2016,18.1896,243640,17.9821,18.2211,17.6898
1721,6/2/2016,18.2273,231181,18.0387,18.2273,17.9255
1720,6/3/2016,17.9696,138542,18.2211,18.2211,17.8249
1719,6/6/2016,17.7243,158840,18.0387,18.045,17.6866
1718,6/7/2016,17.5483,181990,17.6489,17.6678,17.5357
1717,6/8/2016,17.542,152437,17.6363,17.6678,17.4666
1716,6/9/2016,17.4917,101325,17.4414,17.5106,17.2811
1715,6/10/2016,16.9384,200733,17.2528,17.2905,16.863
1714,6/13/2016,16.6806,182100,17.0767,17.1396,16.5549
1713,6/14/2016,16.7121,222845,16.6681,16.9887,16.6178
1712,6/15/2016,16.8881,125017,16.7372,16.9761,16.624
